run_id,final_pnl,fees,adverse_selection,spread_capture,forced_liquidations,k_vol,gamma,gamma_inv_scale,gamma_vol_scale,gamma_cap_factor,gamma_imb,size_base,size_min_factor,size_exp,max_inventory,order_ttl
d79fbf54,-0.5541277743432147,-0.4666685145284763,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,1,0.1,0.2
3a685dcc,-0.5541277743432147,-0.4666685145284763,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,1,0.05,0.2
9fef3f00,-1.5627191272105847,-1.6856765824674553,-0.04823288129505848,0.2686569365421529,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,1,0.05,0.6
3076b9f5,-1.608287844030201,-1.7284386594515981,-0.04845821333839288,0.27090704739029864,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,1,0.05,0.3
03a3207f,-1.7424012600586138,-1.8105297120065138,-0.04829639993491467,0.24568485106756666,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,1,0.1,0.3
c67fc70a,-1.813248267322706,-1.825260439876591,-0.04717540110359572,0.19171035344796833,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,1,0.05,0.4
05a25724,-1.762917118583573,-1.8346872088834618,-0.046813214259812386,0.2527644767649587,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,1,0.1,0.4
16c270d7,-1.5947470677547244,-1.6893880581281868,-0.04703535091964083,0.2314240970181653,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,1,0.1,0.6
f3651ca5,-0.5541277743432147,-0.4666685145284763,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,1,0.2,0.2
ac7ab952,-0.5540898051585827,-0.466636284184133,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,2,0.05,0.2
7c1e5424,-1.5855462966774212,-1.6826110803223489,-0.04576906742174724,0.24861270706047892,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,1,0.2,0.6
4453b6ad,-1.7463393864527461,-1.8152606846260293,-0.04511197347649412,0.2494272888602034,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,1,0.2,0.4
521bffcf,-1.5082173632654303,-1.6739967141376837,-0.04556987497340681,0.3023148797336761,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,2,0.05,0.6
86a2fb04,-1.765125778312722,-1.810852122066983,-0.047362976403877106,0.21432586071797347,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,1,0.2,0.3
de1ace79,-1.5824100788759097,-1.7061146992019665,-0.04449267948385126,0.2646440190173646,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,2,0.05,0.3
30dfe99d,-1.7124761279155791,-1.7719789655049003,-0.04688632347649394,0.23842867189966607,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,2,0.05,0.4
09b4e462,-0.5031988261580409,-0.4185425641373033,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,2,0.1,0.2
30ca141d,-1.761655913447612,-1.8184390841669038,-0.04718510355925734,0.23323236517775564,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,2,0.1,0.3
5baa2b60,-0.5540898051585827,-0.466636284184133,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,2,0.2,0.2
5547192d,-1.579318076994241,-1.6851868166338273,-0.050770513842271624,0.2437582242757362,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,2,0.1,0.6
e535f7d3,-1.5567490452958737,-1.6942616916250486,-0.04470366829977986,0.2728689531503058,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,2,0.2,0.3
91efddce,-1.8147953015359235,-1.8149577467371087,-0.0458019783913066,0.19603247207585214,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,2,0.1,0.4
435a1c96,-1.5852254110250215,-1.688079510067074,-0.04782277358064304,0.23528751862233696,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,2,0.2,0.6
72cfbd9e,-1.714875214625863,-1.7661910552636748,-0.04794870199083762,0.22915244582374208,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,2,0.2,0.4
611b2156,-0.5540518444486224,-0.4666040609643563,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,3,0.05,0.2
bf10642c,-1.714909874872319,-1.8026897399503732,-0.047701203625317094,0.26522830101334943,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,3,0.05,0.4
68c8211e,-0.5540518444486224,-0.4666040609643563,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,3,0.1,0.2
5f0fac61,-1.6764429776376346,-1.7786883251550656,-0.044236964748882744,0.27194236278511735,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,3,0.05,0.3
c62f2aca,-1.5448908952203055,-1.6569946353981735,-0.04560045415969209,0.24671300489570577,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,3,0.05,0.6
d3b77403,-1.55489593186212,-1.6827563546899977,-0.04769085694150962,0.2567171509677042,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,3,0.1,0.6
efbe3e81,-1.7568175095366314,-1.8212548957480592,-0.04728961958565768,0.24073909628397042,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,3,0.1,0.3
ea599d02,-1.7101027270182385,-1.8087744354397732,-0.045686482313345246,0.28402783214988675,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,3,0.1,0.4
dfb376a6,-0.5540518444486224,-0.4666040609643563,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,3,0.2,0.2
54fca262,-0.5541277743432147,-0.4666685145284763,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.2,1,0.05,0.2
e2c07b1d,-1.7640987077556929,-1.8281810661792501,-0.05049953274169534,0.2576178933768836,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,3,0.2,0.4
93522de3,-1.7260310840301827,-1.7909371101876266,-0.04893270660749802,0.24997999220333356,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,3,0.2,0.3
7e7ba05e,-1.589630987828059,-1.7141614837778572,-0.04704906893226474,0.2698642604032589,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.1,3,0.2,0.6
