run_id,final_pnl,fees,adverse_selection,spread_capture,forced_liquidations,gamma_cap_factor,gamma_imb,size_base,size_min_factor,size_exp,max_inventory,order_ttl,extra_spread_ticks,gamma,k_vol,hold_time,hedge_fraction,gamma_inv_scale,gamma_vol_scale
723d1207,-0.3647284411890723,-0.11328602992328106,-0.008982231403710069,0.083731053805029,0,5.0,0.5,0.005,0.3,2,0.05,0.6,32,0.12,8,2.0,0.2,4,0
12956720,-0.1525503244374704,-0.05082972500381563,-0.003939608688562217,0.03753557778483379,0,5.0,0.5,0.005,0.3,2,0.05,0.6,24,0.08,4,2.0,0.2,4,0
e16d0879,-0.2459450298192678,-0.08220724177911964,-0.007583063289560392,0.061581349399497935,0,5.0,0.5,0.005,0.3,2,0.05,0.6,28,0.12,6,2.0,1.0,2,0
a5a58ae3,-0.058141793344475445,-0.0761883931786246,-0.006054463464349797,0.04921777444573894,0,5.0,0.5,0.005,0.3,2,0.05,0.6,24,0.08,6,2.0,0.2,4,0
a54aa110,-0.3732034799959365,-0.14465157663915745,-0.013416496125381002,0.10815172481167241,0,5.0,0.5,0.005,0.3,2,0.05,0.6,28,0.12,8,1.0,0.2,1,1
d90d934c,-0.49132310961795156,-0.15484560425272745,-0.01744905872855667,0.10076710868786061,1,5.0,0.5,0.005,0.3,2,0.05,0.6,28,0.08,6,1.0,1.0,1,1
0dd7cb17,-0.16435366488440195,-0.0750172558378183,-0.006330845252609158,0.05616523543134093,0,5.0,0.5,0.005,0.3,2,0.05,0.6,28,0.16,6,2.0,0.2,4,0
40db2b2c,-0.25336764763596875,-0.0575264144886822,-0.005214407967463561,0.031328185378629345,0,5.0,0.5,0.005,0.3,2,0.05,0.6,36,0.08,4,2.0,1.0,4,0
b27948bf,-0.2155062132369494,-0.08372396131137297,-0.007602572430515079,0.04379389757528489,0,5.0,0.5,0.005,0.3,2,0.05,0.6,24,0.08,4,2.0,1.0,1,1
a8dfaca7,-0.7796293206920382,-0.19381811349261852,-0.016272356417155617,0.12950390441309717,0,5.0,0.5,0.005,0.3,2,0.05,0.6,24,0.16,8,1.0,1.0,4,0
fd6e5b20,-0.5771739796673501,-0.183247859205666,-0.015889486314988887,0.12664391740060377,0,5.0,0.5,0.005,0.3,2,0.05,0.6,36,0.12,4,1.0,0.2,1,1
92bc2a9b,-0.45047267703739635,-0.2104851806168357,-0.018104254041148193,0.12965176919216811,0,5.0,0.5,0.005,0.3,2,0.05,0.6,32,0.08,4,1.0,0.2,1,1
16033520,-0.2762360439810436,-0.08982448262114025,-0.007756247733241952,0.06945811692478569,0,5.0,0.5,0.005,0.3,2,0.05,0.6,28,0.08,8,2.0,0.2,2,0
b37de503,-0.26429534736598725,-0.08728067788948157,-0.00680902654046762,0.0620989544388543,0,5.0,0.5,0.005,0.3,2,0.05,0.6,36,0.08,6,2.0,1.0,1,0
c435c366,-0.5537152286960918,-0.21380509495188538,-0.019587481374726195,0.1468644368841497,0,5.0,0.5,0.005,0.3,2,0.05,0.6,32,0.08,6,1.0,0.2,1,0
edf05e0d,-0.2001188880767586,-0.16462926012810158,-0.014979442858025677,0.11429232151735202,0,5.0,0.5,0.005,0.3,2,0.05,0.6,32,0.12,4,1.0,1.0,2,0
7f6ae743,-0.1584950758206105,-0.0719933734707795,-0.0066107488878272965,0.055892365579852124,0,5.0,0.5,0.005,0.3,2,0.05,0.6,36,0.16,6,2.0,1.0,1,1
58a34090,-0.5559759094903711,-0.14179113981679703,-0.013077250970042866,0.10122233009829668,0,5.0,0.5,0.005,0.3,2,0.05,0.6,32,0.16,8,1.0,0.2,2,1
d8932749,-0.03972402222825622,-0.08617387021784412,-0.006956543801748045,0.06544726698715789,0,5.0,0.5,0.005,0.3,2,0.05,0.6,28,0.08,8,2.0,1.0,4,1
ea514791,-0.21241442640712194,-0.08495980075670476,-0.0067583421575610255,0.045426850481023025,0,5.0,0.5,0.005,0.3,2,0.05,0.6,28,0.16,4,2.0,0.2,2,0
f69b6411,-0.2901681051716878,-0.0632776381102947,-0.005156972065228931,0.04316005260074006,0,5.0,0.5,0.005,0.3,2,0.05,0.6,28,0.08,8,2.0,1.0,2,0
80108112,-0.2700497402511246,-0.0949368791229622,-0.008474452781483522,0.06990885259827934,0,5.0,0.5,0.005,0.3,2,0.05,0.6,24,0.12,4,2.0,1.0,2,1
bb1958e9,-0.28189665092395444,-0.1673768762124774,-0.014806359890581176,0.12390595092597798,0,5.0,0.5,0.005,0.3,2,0.05,0.6,36,0.16,8,1.0,0.2,4,1
65a1b978,-0.12207701461375109,-0.06757502430326075,-0.006134126123068658,0.04237863060786022,0,5.0,0.5,0.005,0.3,2,0.05,0.6,36,0.08,8,2.0,1.0,1,0
180ecb88,-0.33139311691047624,-0.08202846177049747,-0.006138739764006953,0.05692635828854611,0,5.0,0.5,0.005,0.3,2,0.05,0.6,24,0.16,4,2.0,1.0,2,0
9ea20d8a,-0.47422516551887384,-0.07591747704130151,-0.006606842380909347,0.043191750980895775,0,5.0,0.5,0.005,0.3,2,0.05,0.6,36,0.12,6,2.0,0.2,4,0
bd120517,-0.16386729092846508,-0.0911691252231713,-0.00752095167394941,0.04542377850535183,0,5.0,0.5,0.005,0.3,2,0.05,0.6,24,0.12,8,2.0,0.2,1,0
bfb66752,-0.26861713819380384,-0.08785915443469915,-0.007223004344638385,0.05173361832485077,0,5.0,0.5,0.005,0.3,2,0.05,0.6,32,0.12,6,2.0,0.2,1,0
57636371,-0.5329323133773869,-0.15094045149358037,-0.013837813688334458,0.0950797367827797,0,5.0,0.5,0.005,0.3,2,0.05,0.6,28,0.12,4,1.0,1.0,1,1
99422b10,-0.12924055872099416,-0.09932141505367305,-0.008154411175027904,0.04819822333364342,0,5.0,0.5,0.005,0.3,2,0.05,0.6,24,0.12,8,2.0,0.2,2,0
5bacc44a,-0.36586139869359613,-0.12155690465610602,-0.01030227437568642,0.09400756998855624,0,5.0,0.5,0.005,0.3,2,0.05,0.6,36,0.08,4,1.0,0.2,2,1
2ee7a053,-0.14371048791508656,-0.15393677520403207,-0.01257733879517383,0.11373311962268264,0,5.0,0.5,0.005,0.3,2,0.05,0.6,36,0.12,4,1.0,0.2,4,1
49e3aa77,-0.18162882005708525,-0.07448211047504776,-0.007240090707212211,0.05554444956435746,0,5.0,0.5,0.005,0.3,2,0.05,0.6,36,0.16,6,2.0,1.0,2,1
f044803a,-0.4943190353606042,-0.18646854946927896,-0.026577064555776884,0.16574126030787886,1,5.0,0.5,0.005,0.3,2,0.05,0.6,36,0.12,6,1.0,0.2,1,1
9f561f24,-0.3108429811691167,-0.09689880625728704,-0.008142370961004564,0.050291961942815336,0,5.0,0.5,0.005,0.3,2,0.05,0.6,36,0.16,8,2.0,0.2,2,0
d9e11875,-0.33138969528772577,-0.09871722900448056,-0.008792620262718244,0.04156388971440763,0,5.0,0.5,0.005,0.3,2,0.05,0.6,28,0.08,8,2.0,0.2,2,1
d6bd97a9,-0.4223832422758278,-0.15956522454108055,-0.013354138291131582,0.10397890173747268,0,5.0,0.5,0.005,0.3,2,0.05,0.6,32,0.08,6,1.0,0.2,4,1
51ad640c,-0.1852788364267326,-0.08933054732289772,-0.008102958503611557,0.06925147560643191,0,5.0,0.5,0.005,0.3,2,0.05,0.6,28,0.12,4,2.0,0.2,1,1
339b0ef8,-0.2030544178433047,-0.08634202562513445,-0.007473964605038846,0.061281342984076746,0,5.0,0.5,0.005,0.3,2,0.05,0.6,36,0.16,6,2.0,1.0,4,0
abe2217d,-0.5640899640111456,-0.14688975348727623,-0.013632258847349197,0.11742044769106146,0,5.0,0.5,0.005,0.3,2,0.05,0.6,36,0.16,8,1.0,0.2,4,0
0f771ab4,-0.31815527875914995,-0.08349592927218966,-0.007248813852156136,0.0828907957480728,0,5.0,0.5,0.005,0.3,2,0.05,0.6,36,0.08,6,2.0,1.0,4,1
06133896,-0.4815305672309478,-0.17684516998081407,-0.01645983400182808,0.12521140559916044,0,5.0,0.5,0.005,0.3,2,0.05,0.6,24,0.16,8,1.0,0.2,1,1
52b58d94,-0.1398174484984338,-0.08101685442115085,-0.006569322347108677,0.05540584971995401,0,5.0,0.5,0.005,0.3,2,0.05,0.6,24,0.08,6,2.0,0.2,4,0
cd42e238,-0.20662750218252768,-0.07768523056472654,-0.007196882271203036,0.054540738059875186,0,5.0,0.5,0.005,0.3,2,0.05,0.6,32,0.08,8,2.0,0.2,4,1
3b1935cf,-0.3419945230380108,-0.14311795061435675,-0.01172236950665261,0.09506642923272343,0,5.0,0.5,0.005,0.3,2,0.05,0.6,36,0.16,4,1.0,0.2,2,0
e74caf6d,-0.4377908586648118,-0.17434703499601406,-0.014593994775334917,0.1028747566256015,0,5.0,0.5,0.005,0.3,2,0.05,0.6,28,0.16,4,1.0,1.0,4,1
