run_id,final_pnl,fees,adverse_selection,spread_capture,forced_liquidations,extra_spread_ticks,gamma,k_vol,hold_time,hedge_fraction
05fa03d6,-0.20130022144076065,-0.9342106554427201,-0.08151845017323146,0.6354048546668613,0,34,0.08,6,2.0,0.025
b486ea51,-3.7439448474578967,-3.697413331590987,-0.17530868174387496,1.249429287318915,0,26,0.2,6,1.5,0.025
8c8a5bf4,-2.618593687611792,-3.985766511516457,-0.178597388712139,1.3611571652878927,0,34,0.12,8,1.0,1.0
fc2fb0ed,-4.140238995314576,-4.668622952617306,-0.18747717209574752,1.3095555992756098,0,30,0.2,8,1.0,1.0
e39133a7,-5.210241403876353,-2.301535485001085,-0.12693860191071388,0.8811078112621743,0,30,0.12,6,1.5,0.025
84e5fc7e,-2.2937269201866,-3.491328042549599,-0.16257035953509463,1.4577679179839973,0,26,0.12,6,1.0,0.025
84d30910,-1.2603901708316698,-1.6495977525492571,-0.10158848354353699,0.615032386611152,0,30,0.12,4,2.0,0.025
7f2a2a95,-3.822209868034406,-2.863944086611795,-0.1548453925829672,1.0214844538697738,0,38,0.16,6,1.5,0.025
eb269d40,-3.5043211140236963,-4.616907673888811,-0.16801596570796742,1.3403019844761643,0,30,0.16,8,1.0,0.025
4bf73467,-3.5860765640791215,-3.504557275750425,-0.17349361022022464,1.4136121352571651,0,38,0.12,6,1.0,0.025
4773b4a7,-4.769614907436335,-3.1529651250781727,-0.13612585000748725,1.010623748199613,0,26,0.16,4,1.5,0.025
45b94a9c,-3.831846918521478,-4.562523597252924,-0.19983240367252866,1.6291941154812353,0,26,0.12,6,1.0,0.025
e26a4e20,-4.168074686493128,-2.2399626673361386,-0.14455423167829654,0.9761145615429472,0,26,0.2,8,1.5,1.0
190c6da6,-2.0453579801942396,-2.762635454178193,-0.10050459015443852,0.5961269028982227,0,38,0.2,4,2.0,1.0
7dc34e74,-4.482403844809596,-3.9087797401757265,-0.21153757745972682,1.5631339581796408,0,34,0.08,6,1.0,1.0
d24320d0,-3.3843931822193554,-3.891895155807525,-0.16524699903402332,1.3468324901668762,0,38,0.08,6,1.0,1.0
5c2becdb,-1.5571313143354928,-2.0394726197716664,-0.0924747860127905,0.7988479873573076,0,38,0.12,4,2.0,0.025
2b39c483,-3.4239048566341808,-5.196311690059968,-0.21759809753180195,1.513116949510239,0,34,0.2,8,1.0,1.0
11cf8596,-2.6288001745597285,-2.7241419369150925,-0.1277716849950513,0.975319636176442,0,34,0.08,4,1.5,1.0
a326d17c,-1.093707019186695,-1.4365766797397046,-0.06254485855082904,0.4994922138602643,0,34,0.12,6,2.0,0.025
9612e619,-1.1356047883145948,-1.0951324258965416,-0.09727434588744312,0.6203637841285631,0,26,0.16,8,2.0,1.0
18dbc9cd,-1.9687749628610618,-1.830122735918868,-0.1059732859162429,0.708391691154666,0,26,0.12,4,1.5,0.025
4add31cd,-1.3078764113124635,-2.642986699097172,-0.09640434734206003,0.6846990508140236,0,26,0.12,6,2.0,0.025
5b5a8823,-3.9922404601456947,-4.577430171732504,-0.21273391690371798,1.517803174014686,0,26,0.2,6,1.0,0.025
ac716c0b,-6.144724901227164,-4.873172882941992,-0.23128698344155801,1.6330267186609602,0,34,0.2,4,1.0,0.025
7cd8a394,-0.8822106957741198,-1.7868457278268557,-0.0807594758848172,0.647807812788441,0,34,0.16,8,2.0,0.025
732b50ee,-1.1527701119521225,-2.5490599587471614,-0.10557403174630478,0.7849585855025901,0,38,0.08,8,2.0,0.025
eab1e99b,-2.335677247890999,-1.7901043720583074,-0.08849928706604603,0.6376948304485172,0,26,0.08,8,2.0,0.025
66e0f972,-2.718062984493372,-1.2122990013546748,-0.08165875813020752,0.5204865073065879,0,30,0.12,8,2.0,1.0
12eeba0a,-4.430954639150514,-3.396300585986973,-0.13465193443391046,0.9260960495068794,0,34,0.2,6,1.5,1.0
3d911aa6,-0.9726493425168883,-0.6826113266605159,-0.06987098244151152,0.5239842284321615,0,34,0.12,4,2.0,0.025
e93d9ff5,-2.851868075029415,-2.839813536672164,-0.12491015727240735,1.1031656801271337,0,38,0.12,6,1.5,1.0
de54fbf6,-3.670534940372818,-3.760070191411657,-0.18032691687913946,1.2347411732895028,0,38,0.16,8,1.0,1.0
b600309a,-1.7026280408681487,-1.2909526380747975,-0.10399899097750881,0.7777306558127057,0,26,0.12,8,2.0,0.025
473b96a3,-2.797559383818225,-3.6460538859787235,-0.17985756797446398,1.4038105361298236,0,34,0.16,4,1.0,0.025
aba8d248,-2.0903825984714786,-3.9344818939304687,-0.1528517264533161,1.4832688897098352,0,26,0.08,8,1.0,0.025
cc97f683,-4.692767340171486,-2.1511015568951604,-0.12458699679163586,0.9744959911520688,0,38,0.16,6,1.5,1.0
f74ec1c1,-2.40295015853917,-2.3117193100399915,-0.10971616546324744,0.7954879295466735,0,34,0.16,8,2.0,0.025
3012299e,-0.7664204586089909,-1.5966919589655553,-0.08144451390751574,0.6989107951601867,0,34,0.12,4,2.0,1.0
aff193c1,-5.769072742567005,-4.724016242193096,-0.21391008147200735,1.5481900056093938,0,38,0.08,4,1.0,1.0
1c125300,-4.2389936853960535,-2.9255322296880135,-0.14265180145317652,1.025630811877065,0,38,0.2,4,1.5,0.025
4ad128a1,-3.827265493133382,-2.660282889111101,-0.13335339337378221,1.1673937007207713,0,26,0.08,4,1.5,0.025
cf97d3d6,-1.542099744638108,-2.9183035118075185,-0.10051509390835553,0.9639147168127044,0,26,0.12,4,2.0,1.0
24b6c0f3,-1.4327266441450774,-2.4717968094685028,-0.09456001782617884,0.831735220850408,0,38,0.08,8,2.0,0.025
8c299f11,-3.112418506485483,-1.3170344064895074,-0.09307404236613785,0.717052840672727,0,26,0.2,8,1.5,1.0
7aec09ee,-2.86017793524843,-2.5453701821890276,-0.1280022718112737,1.0205329156642258,0,26,0.16,4,1.5,0.025
4fc106d4,-5.199565039394656,-3.0227239452509,-0.14265335675598387,1.1183879714066003,0,34,0.2,6,1.5,0.025
25fbbaf9,-1.752158782324841,-1.6754258350985298,-0.11979931639437957,0.8999579905070423,0,34,0.16,4,1.5,1.0
93b5f431,-2.9245385049598553,-2.1939887350391114,-0.1062211694829904,0.6328076628532698,0,30,0.08,4,2.0,1.0
0e758c01,-4.522005094657288,-3.6329480379592667,-0.1977574583306092,1.5680594122358043,0,26,0.08,8,1.0,1.0
be209ead,-3.6035956138948677,-4.654852175914759,-0.20275485964872658,1.4056992700988529,0,38,0.12,8,1.0,0.025
914304a5,-0.14701126438376377,-1.38224118052426,-0.07415232354095919,0.7031455393614344,0,38,0.08,8,2.0,0.025
a842e038,-3.539731171731546,-4.01105301683527,-0.1932338332287809,1.3610770313576723,0,30,0.2,4,1.0,1.0
abcccec6,-6.114834572346808,-4.196822918100153,-0.19339515151850564,1.7129209048416862,0,30,0.08,4,1.0,1.0
fcc7a10f,-3.8875874924287928,-3.4688503959429573,-0.1764366541074084,1.3469689007117864,0,30,0.2,6,1.0,1.0
baedf91b,-3.980670107086553,-2.363661794732946,-0.12352031616443847,1.0638093447117007,0,30,0.08,8,1.5,0.025
367346d5,-1.4808290670553106,-1.844180305296097,-0.1100340320738132,0.994065968075307,0,26,0.2,4,2.0,0.025
c5a3c1e2,-1.6688427310746192,-3.0687085446389406,-0.12019916752582203,0.9770017010454034,0,30,0.2,4,1.5,1.0
a8d9c9dd,-1.7349418237063219,-2.064415888779359,-0.09190713640943013,0.8610973049931061,0,30,0.08,8,2.0,0.025
b1893f0f,-0.9820335179483664,-1.2506888617192657,-0.07063945205797578,0.5049892187479771,0,30,0.2,6,2.0,0.025
5e5d5f05,-3.180866745151434,-3.5044003553236815,-0.16859408303188378,1.2649218388188566,0,38,0.08,6,1.0,1.0
21f50a34,-4.246936574303618,-2.026287232764781,-0.10870686508414763,1.0264513571669982,0,34,0.2,8,1.5,1.0
efdeb79b,-3.377923919710156,-4.402857781003935,-0.24870021774592116,1.4514737240701707,0,30,0.12,8,1.0,1.0
0f84eece,-4.187923533085268,-3.736550954979775,-0.1655468244743064,1.4832181175212116,0,38,0.08,4,1.0,1.0
3c080153,-2.8686712818253,-2.2005854342970097,-0.12618344566951745,0.9090944649246889,0,34,0.12,8,1.5,0.025
de01119e,-4.986339569988559,-2.0977159093044673,-0.11772343748362422,0.8993058647886255,0,38,0.12,4,1.5,1.0
794ace59,-1.5373451384875807,-2.3005032991462824,-0.09750878329313938,0.7433072052810904,0,34,0.12,4,2.0,0.025
