#{"t_start": 1752174591.6457677, "env_id": "None"}
r,l,t
-2547.857783,398,4.61181
-2456.356913,398,5.226333
-2350.118441,396,5.821552
-3246.152779,419,6.438911
-2953.861329,375,6.806493
-2856.544416,441,7.410512
-2284.736132,384,7.989731
-1521.636394,323,8.50256
-2821.388227,425,8.872398
-2320.673663,369,9.44062
-1728.58661,341,9.977948
-1808.770643,349,10.550984
-1825.916538,331,10.862264
-1386.993193,293,11.366282
-1560.875929,325,11.661384
-1330.093719,300,12.171399
-1872.425929,336,12.688009
-2424.956491,360,13.015002
-1409.670497,296,13.509558
-1221.881065,280,13.805342
-575.744077,239,14.245077
-1443.913501,311,14.745848
-1881.282129,347,15.060502
-484.439988,240,15.497411
-876.509635,248,15.742317
-795.399423,256,16.194377
-632.573105,246,16.429764
-660.081128,250,16.879037
-426.682265,235,17.102502
-535.259596,239,17.548609
-530.46063,232,17.771023
-651.455469,231,18.004455
-855.471963,244,18.442773
-594.335743,229,18.665302
-800.002888,263,19.127334
-273.437887,213,19.338376
-533.881318,239,19.778553
-530.785761,235,20.002512
-312.746899,220,20.466062
-243.399756,213,20.669314
-334.501403,221,21.099763
-288.80976,207,21.304281
-331.667473,215,21.528314
-574.506863,231,21.961892
-1953.017857,354,22.282851
-434.65545,229,22.759624
-457.421378,216,22.966219
-990.287174,229,23.405485
-211.694286,217,23.620096
-508.536981,234,24.065447
-664.062955,233,24.288392
-262.40001,222,24.76496
-778.480025,244,25.027877
-462.770606,225,25.247373
-295.734831,210,25.655565
-513.821349,221,25.87985
-211.229201,213,26.298676
-682.124911,243,26.530758
-985.939278,255,26.996554
-141.085267,205,27.207804
-218.453947,207,27.613051
-226.554198,214,27.829306
-234.648939,219,28.035847
-141.026385,207,28.447542
-318.805045,204,28.650052
-711.612278,241,29.077718
-306.366808,207,29.294066
-138.546064,209,29.504144
-191.329316,211,29.922654
-472.861237,226,30.129687
-364.515914,213,30.576592
-113.754359,206,30.790151
-290.053628,213,31.191931
-132.857834,210,31.406229
-109.91261,204,31.606042
-124.15354,202,32.00342
-169.882911,205,32.233109
-16.578921,200,32.88815
-17.005278,200,33.047482
-27.364405,200,33.220956
-22.095476,200,33.37271
-28.837186,200,33.531706
-27.575417,200,33.70618
-22.740908,200,33.872879
-26.683972,200,34.024367
-4886.623918,680,34.465335
-80.605648,200,34.627075
